Disease,Crop_English,Crop_Marathi,Disease_Type,Generic_Advice,Chemical_Company_Product,Chemical_Verification,Organic_Company_Product,Organic_Verification,Maharashtra_Availability,Withholding_Period
Apple Scab,Apple,सफरचंद,Fungal,Use protectant fungicides,Bayer Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG),Nationally Registered,Bordeaux Mixture 1% (Standard Formulation),Traditional Formula,Available in Krushi Kendra,7-14 days
Black Rot,Apple,सफरचंद,Fungal,Prune infected wood and spray,Indofil M-45 (Mancozeb 75% WP),Nationally Registered,AgriGold Bacillus subtilis BioFungicide,ICAR Approved,Widely Available,14 days
Cedar Apple Rust,Apple,सफरचंद,Fungal,Remove galls and apply fungicide,Godrej Agrovet Sulfur 80% WP,Nationally Registered,Multiplex Neem Plus 3% EC,Botanical Method,Widely Available,7 days
Powdery Mildew,Cherry,चेरी,Fungal,Apply sulfur or systemic fungicide,BASF Hexaconazole 5% EC (Contaf),Nationally Registered,Godrej Agrovet Sulfur 80% WP,Registered Product,Widely Available,3-7 days
Cercospora Leaf Spot,Corn,मका,Fungal,Apply fungicide at early stage,Sumitomo Chlorothalonil 75% WP (Kavach),Nationally Registered,Joshi Biotech Trichoderma Viride 1% WP,ICAR Approved,Available through Cooperatives,14 days
Gray Leaf Spot,Corn,मका,Fungal,Apply systemic fungicide,Syngenta Amistar (Azoxystrobin 23% SC),Nationally Registered,Joshi Biotech Trichoderma Viride 1% WP,ICAR Approved,Available in Krushi Kendra,14 days
Common Rust,Corn,मका,Fungal,Spray resistance varieties and fungicides,BASF Hexaconazole 5% EC (Contaf),Nationally Registered,Godrej Agrovet Sulfur 80% WP,Registered Product,Widely Available,7-10 days
Northern Leaf Blight,Corn,मका,Fungal,Use protectant or systemic fungicide,Indofil M-45 (Mancozeb 75% WP),Nationally Registered,AgriGold Bacillus subtilis BioFungicide,ICAR Approved,Widely Available,14 days
Black Rot,Grape,द्राक्षे,Fungal,Use protectant fungicides,Bayer Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG),Nationally Registered,Bordeaux Mixture 1% (Standard Formulation),Traditional Formula,Available in Vineyards,14 days
Esca (Black Measles),Grape,द्राक्षे,Fungal,Remove infected wood and seal cuts,Rallis Copper Oxychloride 50% WP (Blitox),Nationally Registered,Joshi Biotech Trichoderma T-22,ICAR Approved,Available in Krushi Kendra,21 days
Leaf Blight (Isariopsis Leaf Spot),Grape,द्राक्षे,Fungal,Spray fungicide at first sign,Bayer Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG),Nationally Registered,Joshi Biotech Trichoderma Viride 1% WP,ICAR Approved,Available in Nashik Vineyards,14-21 days
Huanglongbing (Citrus Greening),Orange,संत्री,Bacterial,Manage psyllids and remove infected trees,Bayer Confidor (Imidacloprid 17.8% SL) for Vectors,Nationally Registered,Multiplex Neem Oil 3% EC for Vectors,Botanical Method,Available in Vidarbha,30 days
Bacterial Spot,Peach,पीच,Bacterial,Apply copper based sprays,Rallis Copper Oxychloride 50% WP (Blitox),Nationally Registered,Multiplex Neem Plus 3% EC + AgriGold Bio,Approved Products,Limited Availability,14 days
Bacterial Spot,Pepper, बेल,ढोबळी मिरची,Bacterial,Apply copper bactericide,Syngenta Cuprex (Copper Hydroxide 77% WP),Nationally Registered,AgriGold Bacillus subtilis BioFungicide,ICAR Approved,Widely Available,7-14 days
Bacterial Spot,Tomato,टोमॅटो,Bacterial,Apply copper bactericide,Syngenta Cuprex (Copper Hydroxide 77% WP) + Plantomycin,Nationally Registered,Multiplex Neem Plus 3% EC + AgriGold Bio,Approved Products,Widely Available,7-14 days
Early Blight,Potato,बटाटा,Fungal,Apply protectant fungicide regularly,Indofil M-45 (Mancozeb 75% WP),Nationally Registered,Joshi Biotech Trichoderma T-22,ICAR Approved,Widely Available,7-14 days
Late Blight,Potato,बटाटा,Fungal,Apply systemic fungicide immediately,Syngenta Ridomil Gold MZ 68% WP,Nationally Registered,AgriGold Bacillus subtilis BioFungicide,ICAR Approved,Available in Pune Division,10-14 days
Powdery Mildew,Squash,भोपळा,Fungal,Apply sulfur or specific fungicide,Godrej Agrovet Sulfur 80% WP,Nationally Registered,Multiplex Neem Plus 3% EC,Registered Product,Widely Available,3-7 days
Leaf Scorch,Strawberry,स्ट्रॉबेरी,Fungal,Apply fungicide and improve spacing,Sumitomo Chlorothalonil 75% WP (Kavach),Nationally Registered,Bordeaux Mixture 1% (Standard Formulation),Traditional Formula,Available in Mahabaleshwar,10-14 days
Early Blight,Tomato,टोमॅटो,Fungal,Apply protectant fungicide regularly,Indofil M-45 (Mancozeb 75% WP),Nationally Registered,Joshi Biotech Trichoderma T-22,ICAR Approved,Widely Available,7-14 days
Late Blight,Tomato,टोमॅटो,Fungal,Apply systemic fungicide immediately,Syngenta Ridomil Gold MZ 68% WP,Nationally Registered,AgriGold Bacillus subtilis BioFungicide,ICAR Approved,Widely Available,10-14 days
Leaf Mold,Tomato,टोमॅटो,Fungal,Improve ventilation and apply fungicide,Syngenta Amistar (Azoxystrobin 23% SC),Nationally Registered,Godrej Agrovet Sulfur 80% WP,Registered Product,Widely Available,10-12 days
Septoria Leaf Spot,Tomato,टोमॅटो,Fungal,Apply fungicide at early stage,Sumitomo Chlorothalonil 75% WP (Kavach),Nationally Registered,Bordeaux Mixture 1% (Standard Formulation),Traditional Formula,Widely Available,10-14 days
Spider Mites,Tomato,टोमॅटो,Pest,Apply specific acaricide,Bayer Oberon (Spiromesifen 22.9% SC),Nationally Registered,Multiplex Neem Oil 3% EC,Approved Product,Widely Available,7 days
Target Spot,Tomato,टोमॅटो,Fungal,Apply systemic fungicide,Bayer Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG),Nationally Registered,Joshi Biotech Trichoderma Viride 1% WP,ICAR Approved,Widely Available,10-14 days
Tomato Yellow Leaf Curl Virus,Tomato,टोमॅटो,Viral,Manage vector (whitefly) population,Bayer Confidor (Imidacloprid 17.8% SL),Nationally Registered,Yellow Sticky Traps + Multiplex Neem Plus 3% EC,Botanical Method,Widely Available,7-14 days
Tomato Mosaic Virus,Tomato,टोमॅटो,Viral,Remove infected plants and sanitize,No Chemical Cure (Use Confidor for Vector Control),Prevention Only,No Organic Cure (Use Neem Oil for Vector Control),Prevention Only,N/A,N/A
Healthy,Apple,सफरचंद,Preventive,Regular monitoring and balanced fertilization,Balanced NPK Fertilizer (Mahadhan 19:19:19),Standard Practice,Aries Agro Chelamin Foliar Spray,Standard Practice,Widely Available,N/A
Healthy,Blueberry,ब्लूबेरी,Preventive,Maintain soil pH and moisture,Ammonium Sulfate Fertilizer,Standard Practice,Organic Pine Bark Mulch,Traditional Method,Limited Availability,N/A
Healthy,Cherry,चेरी,Preventive,Regular pruning and balanced nutrition,Balanced NPK Fertilizer (Mahadhan 19:19:19),Standard Practice,Aries Agro Chelamin Foliar Spray,Standard Practice,Available in Krushi Kendra,N/A
Healthy,Corn,मका,Preventive,Weed management and timely irrigation,Ifco Urea + DAP,Standard Practice,Vermi Compost (Local supplier),Standard Practice,Widely Available,N/A
Healthy,Grape,द्राक्षे,Preventive,Canopy management and timely nutrition,Mahadhan Soluble Fertilizers (0:52:34),Standard Practice,Kelp extract / Seaweed Bio-stimulant,Standard Practice,Available in Nashik,N/A
Healthy,Peach,पीच,Preventive,Ensure proper drainage and nutrition,Balanced NPK Fertilizer (Mahadhan 19:19:19),Standard Practice,Vermi Compost,Standard Practice,Widely Available,N/A
Healthy,Pepper,ढोबळी मिरची,Preventive,Maintain good ventilation and soil health,YaraMila Complex Fertilizer,Standard Practice,Trichoderma enriched compost,Standard Practice,Widely Available,N/A
Healthy,Potato,बटाटा,Preventive,Crop rotation and proper hilling,Ifco NPK 10:26:26,Standard Practice,Organic FYM (Farm Yard Manure),Standard Practice,Widely Available,N/A
Healthy,Raspberry,रास्पबेरी,Preventive,Maintain sanitation and good air flow,Balanced NPK Fertilizer,Standard Practice,Organic Pine Bark Mulch,Traditional Method,Limited Availability,N/A
Healthy,Soybean,सोयाबीन,Preventive,Seed treatment and timely weeding,Ifco DAP (Di-ammonium Phosphate),Standard Practice,Rhizobium Biofertilizer Seed Treatment,Standard Practice,Widely Available,N/A
Healthy,Strawberry,स्ट्रॉबेरी,Preventive,Mulching and proper spacing,Mahadhan Soluble Fertilizers,Standard Practice,Organic Straw Mulch,Traditional Method,Available in Mahabaleshwar,N/A
Healthy,Tomato,टोमॅटो,Preventive,Staking and lower leaf removal,YaraMila Complex Fertilizer,Standard Practice,Vermi Compost + Neem Cake,Standard Practice,Widely Available,N/A
